std_sample_name	gse_id	gsm_id	srr_id	organism	bio_rep	tech_rep	sample_index	download_job_id	download_end_status	download_read_written_status	download_present	antibody_target	restriction_enzyme	sample_name	download_log	download_output
Hela-S3-OE.GSE108869.Homo_Sapiens.CTCF.b1	GSE108869	GSM2974087	SRR6657728	Homo_Sapiens	1	1	11	5028246	1	1	0	CTCF	MboI	Hela-S3-OE	results/fastqs/raw/logs/download_srr_fastqs.o5028246-11	results/fastqs/raw/Hela-S3-OE.GSE108869.Homo_Sapiens.CTCF.b1/SRR6657728_2.fastq.gz
Hela-S3-OE.GSE108869.Homo_Sapiens.CTCF.b1	GSE108869	GSM2974088	SRR6657729	Homo_Sapiens	1	1	12	5028246	1	1	0	CTCF	MboI	Hela-S3-OE	results/fastqs/raw/logs/download_srr_fastqs.o5028246-12	results/fastqs/raw/Hela-S3-OE.GSE108869.Homo_Sapiens.CTCF.b1/SRR6657729_2.fastq.gz
OCI-AML3-WT.GSE111537.Homo_Sapiens.CTCF.b1	GSE111537	GSM3032896	SRR6815425	Homo_Sapiens	1	1	13	5027285	1	1	0	CTCF	MboI	OCI-AML3-WT	results/fastqs/raw/logs/download_srr_fastqs.o5027285-13	results/fastqs/raw/OCI-AML3-WT.GSE111537.Homo_Sapiens.CTCF.b1/SRR6815425_2.fastq.gz
OCI-AML3-WT.GSE111537.Homo_Sapiens.CTCF.b2	GSE111537	GSM3032897	SRR6815426	Homo_Sapiens	2	1	14	5027285	1	1	0	CTCF	MboI	OCI-AML3-WT	results/fastqs/raw/logs/download_srr_fastqs.o5027285-14	results/fastqs/raw/OCI-AML3-WT.GSE111537.Homo_Sapiens.CTCF.b2/SRR6815426_2.fastq.gz
OCI-AML3-DeltaSTAG2.GSE111537.Homo_Sapiens.CTCF.b1	GSE111537	GSM3032898	SRR6815427	Homo_Sapiens	1	1	15	5027285	1	1	0	CTCF	MboI	OCI-AML3-DeltaSTAG2	results/fastqs/raw/logs/download_srr_fastqs.o5027285-15	results/fastqs/raw/OCI-AML3-DeltaSTAG2.GSE111537.Homo_Sapiens.CTCF.b1/SRR6815427_2.fastq.gz
OCI-AML3-DeltaSTAG2.GSE111537.Homo_Sapiens.CTCF.b2	GSE111537	GSM3032899	SRR6815428	Homo_Sapiens	2	1	16	5027285	1	1	0	CTCF	MboI	OCI-AML3-DeltaSTAG2	results/fastqs/raw/logs/download_srr_fastqs.o5027285-16	results/fastqs/raw/OCI-AML3-DeltaSTAG2.GSE111537.Homo_Sapiens.CTCF.b2/SRR6815428_2.fastq.gz
H7-hESC-CM-WT.GSE111930.Homo_Sapiens.H3K27ac.b1	GSE111930	GSM3639702	SRR8668934	Homo_Sapiens	1	1	17	5027285	1	1	0	H3K27ac	MboI	H7-hESC-CM-WT	results/fastqs/raw/logs/download_srr_fastqs.o5027285-17	results/fastqs/raw/H7-hESC-CM-WT.GSE111930.Homo_Sapiens.H3K27ac.b1/SRR8668934_2.fastq.gz
hiPSC-CM-WT.GSE111930.Homo_Sapiens.H3K27ac.b1	GSE111930	GSM3639703	SRR8668926	Homo_Sapiens	1	1	18	5027285	1	1	0	H3K27ac	MboI	hiPSC-CM-WT	results/fastqs/raw/logs/download_srr_fastqs.o5027285-18	results/fastqs/raw/hiPSC-CM-WT.GSE111930.Homo_Sapiens.H3K27ac.b1/SRR8668926_2.fastq.gz
hiPSC-CM-ED.GSE111930.Homo_Sapiens.H3K27ac.b1	GSE111930	GSM3639704	SRR8668927	Homo_Sapiens	1	1	19	5027285	1	1	0	H3K27ac	MboI	hiPSC-CM-ED	results/fastqs/raw/logs/download_srr_fastqs.o5027285-19	results/fastqs/raw/hiPSC-CM-ED.GSE111930.Homo_Sapiens.H3K27ac.b1/SRR8668927_2.fastq.gz
Nalm6.GSE115492.Homo_Sapiens.H3K27ac.b1	GSE115492	GSM3179300	SRR7278684	Homo_Sapiens	1	1	20	5028246	1	1	0	H3K27ac	MboI	Nalm6	results/fastqs/raw/logs/download_srr_fastqs.o5028246-20	results/fastqs/raw/Nalm6.GSE115492.Homo_Sapiens.H3K27ac.b1/SRR7278684_2.fastq.gz
GM12878.GSE115524.Homo_Sapiens.CTCF.b1	GSE115524	GSM3424974	SRR7990656	Homo_Sapiens	1	1	21	5027285	1	1	0	CTCF	MboI	GM12878	results/fastqs/raw/logs/download_srr_fastqs.o5027285-21	results/fastqs/raw/GM12878.GSE115524.Homo_Sapiens.CTCF.b1/SRR7990656_2.fastq.gz
GM12878.GSE115524.Homo_Sapiens.CTCF.b2	GSE115524	GSM3424975	SRR7990657	Homo_Sapiens	2	1	22	5028246	1	1	0	CTCF	MboI	GM12878	results/fastqs/raw/logs/download_srr_fastqs.o5028246-22	results/fastqs/raw/GM12878.GSE115524.Homo_Sapiens.CTCF.b2/SRR7990657_2.fastq.gz
GM12878.GSE115524.Homo_Sapiens.CTCF.b1	GSE115524	GSM3424976	SRR7990658	Homo_Sapiens	1	1	23	5027285	1	1	0	CTCF	MboI	GM12878	results/fastqs/raw/logs/download_srr_fastqs.o5027285-23	results/fastqs/raw/GM12878.GSE115524.Homo_Sapiens.CTCF.b1/SRR7990658_2.fastq.gz
GM12878.GSE115524.Homo_Sapiens.CTCF.b2	GSE115524	GSM3424977	SRR7990659	Homo_Sapiens	2	1	24	5027285	1	1	0	CTCF	MboI	GM12878	results/fastqs/raw/logs/download_srr_fastqs.o5027285-24	results/fastqs/raw/GM12878.GSE115524.Homo_Sapiens.CTCF.b2/SRR7990659_2.fastq.gz
CUTLL1.GSE115896.Homo_Sapiens.H3K27ac.b1	GSE115896	GSM3967135	SRR9822270	Homo_Sapiens	1	1	25	5027285	1	1	0	H3K27ac	MboI	CUTLL1	results/fastqs/raw/logs/download_srr_fastqs.o5027285-25	results/fastqs/raw/CUTLL1.GSE115896.Homo_Sapiens.H3K27ac.b1/SRR9822270_2.fastq.gz
CUTLL1.GSE115896.Homo_Sapiens.H3K27ac.b1	GSE115896	GSM3967135	SRR9822271	Homo_Sapiens	1	2	26	5027362	1	1	0	H3K27ac	MboI	CUTLL1	results/fastqs/raw/logs/download_srr_fastqs.o5027362-26	results/fastqs/raw/CUTLL1.GSE115896.Homo_Sapiens.H3K27ac.b1/SRR9822271_2.fastq.gz
CUTLL1.GSE115896.Homo_Sapiens.H3K27ac.b1	GSE115896	GSM3967135	SRR9822272	Homo_Sapiens	1	3	27	5027362	1	1	0	H3K27ac	MboI	CUTLL1	results/fastqs/raw/logs/download_srr_fastqs.o5027362-27	results/fastqs/raw/CUTLL1.GSE115896.Homo_Sapiens.H3K27ac.b1/SRR9822272_2.fastq.gz
STAG2-WT.GSE116495.Homo_Sapiens.SMC1A.b1	GSE116495	GSM5059681	SRR13610655	Homo_Sapiens	1	1	28	5027285	1	1	0	SMC1A	MboI	STAG2-WT	results/fastqs/raw/logs/download_srr_fastqs.o5027285-28	results/fastqs/raw/STAG2-WT.GSE116495.Homo_Sapiens.SMC1A.b1/SRR13610655_2.fastq.gz
STAG2-WT.GSE116495.Homo_Sapiens.SMC1A.b2	GSE116495	GSM5059682	SRR13610656	Homo_Sapiens	2	1	29	5027285	1	1	0	SMC1A	MboI	STAG2-WT	results/fastqs/raw/logs/download_srr_fastqs.o5027285-29	results/fastqs/raw/STAG2-WT.GSE116495.Homo_Sapiens.SMC1A.b2/SRR13610656_2.fastq.gz
STAG2-KO.GSE116495.Homo_Sapiens.SMC1A.b1	GSE116495	GSM5059683	SRR13610657	Homo_Sapiens	1	1	30	5027285	1	1	0	SMC1A	MboI	STAG2-KO	results/fastqs/raw/logs/download_srr_fastqs.o5027285-30	results/fastqs/raw/STAG2-KO.GSE116495.Homo_Sapiens.SMC1A.b1/SRR13610657_2.fastq.gz
STAG2-KO.GSE116495.Homo_Sapiens.SMC1A.b2	GSE116495	GSM5059684	SRR13610658	Homo_Sapiens	2	1	31	5027285	1	1	0	SMC1A	MboI	STAG2-KO	results/fastqs/raw/logs/download_srr_fastqs.o5027285-31	results/fastqs/raw/STAG2-KO.GSE116495.Homo_Sapiens.SMC1A.b2/SRR13610658_2.fastq.gz
MB157-WT.GSE116869.Homo_Sapiens.SMC1A.b1	GSE116869	GSM3263168	SRR7505568	Homo_Sapiens	1	1	32	5028246	1	1	0	SMC1A	MboI	MB157-WT	results/fastqs/raw/logs/download_srr_fastqs.o5028246-32	results/fastqs/raw/MB157-WT.GSE116869.Homo_Sapiens.SMC1A.b1/SRR7505568_2.fastq.gz
MB157-GSI.GSE116869.Homo_Sapiens.SMC1A.b1	GSE116869	GSM3263169	SRR7505569	Homo_Sapiens	1	1	33	5028246	1	1	0	SMC1A	MboI	MB157-GSI	results/fastqs/raw/logs/download_srr_fastqs.o5028246-33	results/fastqs/raw/MB157-GSI.GSE116869.Homo_Sapiens.SMC1A.b1/SRR7505569_2.fastq.gz
MB157-WO.GSE116869.Homo_Sapiens.SMC1A.b1	GSE116869	GSM3263170	SRR7505570	Homo_Sapiens	1	1	34	5028246	1	1	0	SMC1A	MboI	MB157-WO	results/fastqs/raw/logs/download_srr_fastqs.o5028246-34	results/fastqs/raw/MB157-WO.GSE116869.Homo_Sapiens.SMC1A.b1/SRR7505570_2.fastq.gz
HCC1599-WT.GSE116872.Homo_Sapiens.SMC1A.b1	GSE116872	GSM3263200	SRR7505611	Homo_Sapiens	1	1	35	5028246	1	1	0	SMC1A	MboI	HCC1599-WT	results/fastqs/raw/logs/download_srr_fastqs.o5028246-35	results/fastqs/raw/HCC1599-WT.GSE116872.Homo_Sapiens.SMC1A.b1/SRR7505611_2.fastq.gz
HCC1599-GSI.GSE116872.Homo_Sapiens.SMC1A.b1	GSE116872	GSM3263201	SRR7505612	Homo_Sapiens	1	1	36	5028246	1	1	0	SMC1A	MboI	HCC1599-GSI	results/fastqs/raw/logs/download_srr_fastqs.o5028246-36	results/fastqs/raw/HCC1599-GSI.GSE116872.Homo_Sapiens.SMC1A.b1/SRR7505612_2.fastq.gz
Rec1-WT.GSE116875.Homo_Sapiens.SMC1A.b1	GSE116875	GSM3263222	SRR7505646	Homo_Sapiens	1	1	37	5028246	1	1	0	SMC1A	MboI	Rec1-WT	results/fastqs/raw/logs/download_srr_fastqs.o5028246-37	results/fastqs/raw/Rec1-WT.GSE116875.Homo_Sapiens.SMC1A.b1/SRR7505646_2.fastq.gz
Rec1-GSI.GSE116875.Homo_Sapiens.SMC1A.b1	GSE116875	GSM3263223	SRR7505647	Homo_Sapiens	1	1	38	5028246	1	1	0	SMC1A	MboI	Rec1-GSI	results/fastqs/raw/logs/download_srr_fastqs.o5028246-38	results/fastqs/raw/Rec1-GSI.GSE116875.Homo_Sapiens.SMC1A.b1/SRR7505647_2.fastq.gz
hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b1	GSE120294	GSM3397780	SRR7888961	Homo_Sapiens	1	1	39	5027285	1	1	0	SMC1A	MboI	hESC-WT-D0	results/fastqs/raw/logs/download_srr_fastqs.o5027285-39	results/fastqs/raw/hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b1/SRR7888961_2.fastq.gz
hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b1	GSE120294	GSM3397780	SRR7888962	Homo_Sapiens	1	2	40	5027285	1	1	0	SMC1A	MboI	hESC-WT-D0	results/fastqs/raw/logs/download_srr_fastqs.o5027285-40	results/fastqs/raw/hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b1/SRR7888962_2.fastq.gz
hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b1	GSE120294	GSM3397780	SRR7888963	Homo_Sapiens	1	3	41	5027285	1	1	0	SMC1A	MboI	hESC-WT-D0	results/fastqs/raw/logs/download_srr_fastqs.o5027285-41	results/fastqs/raw/hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b1/SRR7888963_2.fastq.gz
hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b1	GSE120294	GSM3397780	SRR7888964	Homo_Sapiens	1	4	42	5027285	1	1	0	SMC1A	MboI	hESC-WT-D0	results/fastqs/raw/logs/download_srr_fastqs.o5027285-42	results/fastqs/raw/hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b1/SRR7888964_2.fastq.gz
hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b2	GSE120294	GSM3397781	SRR7888965	Homo_Sapiens	2	1	43	5027285	1	1	0	SMC1A	MboI	hESC-WT-D0	results/fastqs/raw/logs/download_srr_fastqs.o5027285-43	results/fastqs/raw/hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b2/SRR7888965_2.fastq.gz
hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b2	GSE120294	GSM3397781	SRR7888966	Homo_Sapiens	2	2	44	5027285	1	1	0	SMC1A	MboI	hESC-WT-D0	results/fastqs/raw/logs/download_srr_fastqs.o5027285-44	results/fastqs/raw/hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b2/SRR7888966_2.fastq.gz
hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b2	GSE120294	GSM3397781	SRR7888967	Homo_Sapiens	2	3	45	5027362	1	1	0	SMC1A	MboI	hESC-WT-D0	results/fastqs/raw/logs/download_srr_fastqs.o5027362-45	results/fastqs/raw/hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b2/SRR7888967_2.fastq.gz
hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b2	GSE120294	GSM3397781	SRR7888968	Homo_Sapiens	2	4	46	5027362	1	1	0	SMC1A	MboI	hESC-WT-D0	results/fastqs/raw/logs/download_srr_fastqs.o5027362-46	results/fastqs/raw/hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b2/SRR7888968_2.fastq.gz
hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b3	GSE120294	GSM3397782	SRR7888969	Homo_Sapiens	3	1	47	5027285	1	1	0	SMC1A	MboI	hESC-WT-D0	results/fastqs/raw/logs/download_srr_fastqs.o5027285-47	results/fastqs/raw/hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b3/SRR7888969_2.fastq.gz
hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b3	GSE120294	GSM3397782	SRR7888970	Homo_Sapiens	3	2	48	5027285	1	1	0	SMC1A	MboI	hESC-WT-D0	results/fastqs/raw/logs/download_srr_fastqs.o5027285-48	results/fastqs/raw/hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b3/SRR7888970_2.fastq.gz
hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b3	GSE120294	GSM3397782	SRR7888971	Homo_Sapiens	3	3	49	5027285	1	1	0	SMC1A	MboI	hESC-WT-D0	results/fastqs/raw/logs/download_srr_fastqs.o5027285-49	results/fastqs/raw/hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b3/SRR7888971_2.fastq.gz
hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b3	GSE120294	GSM3397782	SRR7888972	Homo_Sapiens	3	4	50	5027362	1	1	0	SMC1A	MboI	hESC-WT-D0	results/fastqs/raw/logs/download_srr_fastqs.o5027362-50	results/fastqs/raw/hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b3/SRR7888972_2.fastq.gz
hESC-p63GOF-D0.GSE120294.Homo_Sapiens.SMC1A.b1	GSE120294	GSM3397783	SRR7888973	Homo_Sapiens	1	1	51	5027285	1	1	0	SMC1A	MboI	hESC-p63GOF-D0	results/fastqs/raw/logs/download_srr_fastqs.o5027285-51	results/fastqs/raw/hESC-p63GOF-D0.GSE120294.Homo_Sapiens.SMC1A.b1/SRR7888973_2.fastq.gz
hESC-p63GOF-D0.GSE120294.Homo_Sapiens.SMC1A.b1	GSE120294	GSM3397783	SRR7888974	Homo_Sapiens	1	2	52	5027362	1	1	0	SMC1A	MboI	hESC-p63GOF-D0	results/fastqs/raw/logs/download_srr_fastqs.o5027362-52	results/fastqs/raw/hESC-p63GOF-D0.GSE120294.Homo_Sapiens.SMC1A.b1/SRR7888974_2.fastq.gz
hESC-p63GOF-D0.GSE120294.Homo_Sapiens.SMC1A.b2	GSE120294	GSM3397784	SRR7888975	Homo_Sapiens	2	1	53	5027285	1	1	0	SMC1A	MboI	hESC-p63GOF-D0	results/fastqs/raw/logs/download_srr_fastqs.o5027285-53	results/fastqs/raw/hESC-p63GOF-D0.GSE120294.Homo_Sapiens.SMC1A.b2/SRR7888975_2.fastq.gz
hESC-p63GOF-D0.GSE120294.Homo_Sapiens.SMC1A.b2	GSE120294	GSM3397784	SRR7888976	Homo_Sapiens	2	2	54	5027362	1	1	0	SMC1A	MboI	hESC-p63GOF-D0	results/fastqs/raw/logs/download_srr_fastqs.o5027362-54	results/fastqs/raw/hESC-p63GOF-D0.GSE120294.Homo_Sapiens.SMC1A.b2/SRR7888976_2.fastq.gz
hESC-p63GOF-D0.GSE120294.Homo_Sapiens.SMC1A.b3	GSE120294	GSM3397785	SRR7888977	Homo_Sapiens	3	1	55	5027285	1	1	0	SMC1A	MboI	hESC-p63GOF-D0	results/fastqs/raw/logs/download_srr_fastqs.o5027285-55	results/fastqs/raw/hESC-p63GOF-D0.GSE120294.Homo_Sapiens.SMC1A.b3/SRR7888977_2.fastq.gz
hESC-p63GOF-D0.GSE120294.Homo_Sapiens.SMC1A.b3	GSE120294	GSM3397785	SRR7888978	Homo_Sapiens	3	2	56	5027285	1	1	0	SMC1A	MboI	hESC-p63GOF-D0	results/fastqs/raw/logs/download_srr_fastqs.o5027285-56	results/fastqs/raw/hESC-p63GOF-D0.GSE120294.Homo_Sapiens.SMC1A.b3/SRR7888978_2.fastq.gz
SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b1	GSE120294	GSM3397786	SRR7888979	Homo_Sapiens	1	1	57	5027285	1	1	0	SMC1A	MboI	SEC-WT-D7	results/fastqs/raw/logs/download_srr_fastqs.o5027285-57	results/fastqs/raw/SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b1/SRR7888979_2.fastq.gz
SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b1	GSE120294	GSM3397786	SRR7888980	Homo_Sapiens	1	2	58	5027285	1	1	0	SMC1A	MboI	SEC-WT-D7	results/fastqs/raw/logs/download_srr_fastqs.o5027285-58	results/fastqs/raw/SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b1/SRR7888980_2.fastq.gz
SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b1	GSE120294	GSM3397786	SRR7888981	Homo_Sapiens	1	3	59	5027285	1	1	0	SMC1A	MboI	SEC-WT-D7	results/fastqs/raw/logs/download_srr_fastqs.o5027285-59	results/fastqs/raw/SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b1/SRR7888981_2.fastq.gz
SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b1	GSE120294	GSM3397786	SRR7888982	Homo_Sapiens	1	4	60	5027285	1	1	0	SMC1A	MboI	SEC-WT-D7	results/fastqs/raw/logs/download_srr_fastqs.o5027285-60	results/fastqs/raw/SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b1/SRR7888982_2.fastq.gz
SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b2	GSE120294	GSM3397787	SRR7888983	Homo_Sapiens	2	1	61	5027362	1	1	0	SMC1A	MboI	SEC-WT-D7	results/fastqs/raw/logs/download_srr_fastqs.o5027362-61	results/fastqs/raw/SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b2/SRR7888983_2.fastq.gz
SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b2	GSE120294	GSM3397787	SRR7888984	Homo_Sapiens	2	2	62	5027285	1	1	0	SMC1A	MboI	SEC-WT-D7	results/fastqs/raw/logs/download_srr_fastqs.o5027285-62	results/fastqs/raw/SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b2/SRR7888984_2.fastq.gz
SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b2	GSE120294	GSM3397787	SRR7888985	Homo_Sapiens	2	3	63	5027285	1	1	0	SMC1A	MboI	SEC-WT-D7	results/fastqs/raw/logs/download_srr_fastqs.o5027285-63	results/fastqs/raw/SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b2/SRR7888985_2.fastq.gz
SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b2	GSE120294	GSM3397787	SRR7888986	Homo_Sapiens	2	4	64	5027285	1	1	0	SMC1A	MboI	SEC-WT-D7	results/fastqs/raw/logs/download_srr_fastqs.o5027285-64	results/fastqs/raw/SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b2/SRR7888986_2.fastq.gz
SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b3	GSE120294	GSM3397788	SRR7888987	Homo_Sapiens	3	1	65	5027285	1	1	0	SMC1A	MboI	SEC-WT-D7	results/fastqs/raw/logs/download_srr_fastqs.o5027285-65	results/fastqs/raw/SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b3/SRR7888987_2.fastq.gz
SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b3	GSE120294	GSM3397788	SRR7888988	Homo_Sapiens	3	2	66	5027362	1	1	0	SMC1A	MboI	SEC-WT-D7	results/fastqs/raw/logs/download_srr_fastqs.o5027362-66	results/fastqs/raw/SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b3/SRR7888988_2.fastq.gz
SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b3	GSE120294	GSM3397788	SRR7888989	Homo_Sapiens	3	3	67	5027285	1	1	0	SMC1A	MboI	SEC-WT-D7	results/fastqs/raw/logs/download_srr_fastqs.o5027285-67	results/fastqs/raw/SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b3/SRR7888989_2.fastq.gz
SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b3	GSE120294	GSM3397788	SRR7888990	Homo_Sapiens	3	4	68	5027285	1	1	0	SMC1A	MboI	SEC-WT-D7	results/fastqs/raw/logs/download_srr_fastqs.o5027285-68	results/fastqs/raw/SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b3/SRR7888990_2.fastq.gz
SEC-p63KO-D7.GSE120294.Homo_Sapiens.SMC1A.b1	GSE120294	GSM3397789	SRR7888991	Homo_Sapiens	1	1	69	5027362	1	1	0	SMC1A	MboI	SEC-p63KO-D7	results/fastqs/raw/logs/download_srr_fastqs.o5027362-69	results/fastqs/raw/SEC-p63KO-D7.GSE120294.Homo_Sapiens.SMC1A.b1/SRR7888991_2.fastq.gz
SEC-p63KO-D7.GSE120294.Homo_Sapiens.SMC1A.b1	GSE120294	GSM3397789	SRR7888992	Homo_Sapiens	1	2	70	5027285	1	1	0	SMC1A	MboI	SEC-p63KO-D7	results/fastqs/raw/logs/download_srr_fastqs.o5027285-70	results/fastqs/raw/SEC-p63KO-D7.GSE120294.Homo_Sapiens.SMC1A.b1/SRR7888992_2.fastq.gz
SEC-p63KO-D7.GSE120294.Homo_Sapiens.SMC1A.b2	GSE120294	GSM3397790	SRR7888993	Homo_Sapiens	2	1	71	5027285	1	1	0	SMC1A	MboI	SEC-p63KO-D7	results/fastqs/raw/logs/download_srr_fastqs.o5027285-71	results/fastqs/raw/SEC-p63KO-D7.GSE120294.Homo_Sapiens.SMC1A.b2/SRR7888993_2.fastq.gz
